imagepath,question,answer
./train2014/COCO_train2014_000000000797.jpg,What the elephant's tusks made of ?,ivory
./train2014/COCO_train2014_000000000797.jpg,Does one of the elephants appear to smile ?,yes
./train2014/COCO_train2014_000000504259.jpg,Are all of the sheep facing the same direction ?,yes
./train2014/COCO_train2014_000000504259.jpg,How many sheep are standing in picture ?,1
./train2014/COCO_train2014_000000504259.jpg,Does this animal have the makings of a Christmas sweater on its back ?,yes
./train2014/COCO_train2014_000000271038.jpg,Is this a public building ?,yes
./train2014/COCO_train2014_000000271038.jpg,Is there a clock ?,yes
./train2014/COCO_train2014_000000271038.jpg,Is it snowing here ?,no
./train2014/COCO_train2014_000000104368.jpg,What is this person eating ?,pizza
./train2014/COCO_train2014_000000104368.jpg,How many are wearing glasses ?,4
./train2014/COCO_train2014_000000104368.jpg,How many wheelchairs ?,1
./train2014/COCO_train2014_000000261387.jpg,What color are the roses ?,"red, white and blue"
./train2014/COCO_train2014_000000261387.jpg,Are these cupcakes ?,yes
./train2014/COCO_train2014_000000261387.jpg,How many cupcakes do not contain the color blue ?,13
./train2014/COCO_train2014_000000233381.jpg,Is this a child on the surfboard ?,no
./train2014/COCO_train2014_000000233381.jpg,Is he wearing the right type of suit ?,yes
./train2014/COCO_train2014_000000233381.jpg,Is this a sexy senior citizen ?,yes
./train2014/COCO_train2014_000000267831.jpg,Are the men fighting ?,no
./train2014/COCO_train2014_000000267831.jpg,Which man is controlling the kite ?,man on right
./train2014/COCO_train2014_000000267831.jpg,Is this a beach ?,yes
./train2014/COCO_train2014_000000136653.jpg,What is the man hanging from ?,parachute
./train2014/COCO_train2014_000000136653.jpg,The man is hanging from a boat ?,no
./train2014/COCO_train2014_000000136653.jpg,What is attached to the man's feet ?,wakeboard
./train2014/COCO_train2014_000000558567.jpg,Is it night time ?,yes
./train2014/COCO_train2014_000000558567.jpg,Is this a city street ?,yes
./train2014/COCO_train2014_000000558567.jpg,Can you see people in the photo ?,no
./train2014/COCO_train2014_000000238203.jpg,What color is the photo ?,black and white
./train2014/COCO_train2014_000000238203.jpg,What kind of animals are in the field ?,horses
./train2014/COCO_train2014_000000238203.jpg,Is this image in black and white ?,yes
./train2014/COCO_train2014_000000025241.jpg,What part of the body are these worn around ?,neck
./train2014/COCO_train2014_000000025241.jpg,How many ties are there ?,2
./train2014/COCO_train2014_000000025241.jpg,Are these mostly worn by men or women ?,men
./train2014/COCO_train2014_000000523186.jpg,"Is the snow in this picture probably natural, or probably man-made ?",natural
./train2014/COCO_train2014_000000523186.jpg,Is the skier in this picture wearing safety gear ?,yes
./train2014/COCO_train2014_000000523186.jpg,Is this run a double black diamond ?,no
./train2014/COCO_train2014_000000391748.jpg,Did he make the shot ?,no
./train2014/COCO_train2014_000000391748.jpg,Is someone wearing a hat ?,yes
./train2014/COCO_train2014_000000391748.jpg,What game are the men playing ?,frisbee
./train2014/COCO_train2014_000000082759.jpg,Is this man in the military ?,yes
./train2014/COCO_train2014_000000082759.jpg,Who is the man ?,general
./train2014/COCO_train2014_000000082759.jpg,What color is the man's jacket ?,beige
./train2014/COCO_train2014_000000213963.jpg,Is the cup clean ?,no
./train2014/COCO_train2014_000000213963.jpg,What kind of cup is this ?,coffee
./train2014/COCO_train2014_000000213963.jpg,Is there a keyboard in the foreground of this picture ?,yes
./train2014/COCO_train2014_000000473102.jpg,What color is the man's shirt ?,green
./train2014/COCO_train2014_000000473102.jpg,What is the man sitting in front of ?,computer
./train2014/COCO_train2014_000000473102.jpg,Is this building in a city ?,yes
./train2014/COCO_train2014_000000576225.jpg,How many different flowers are on the table ?,2
./train2014/COCO_train2014_000000576225.jpg,Is she a statue ?,no
./train2014/COCO_train2014_000000576225.jpg,What color is his bag ?,pink
./train2014/COCO_train2014_000000404486.jpg,How many donuts appear to have NOT been flipped ?,6
./train2014/COCO_train2014_000000404486.jpg,What are the donuts on ?,conveyor belt
./train2014/COCO_train2014_000000404486.jpg,How man donuts are there ?,22
./train2014/COCO_train2014_000000262495.jpg,What is the baby wearing ?,onesie
./train2014/COCO_train2014_000000262495.jpg,How many feet is the child standing on ?,1
./train2014/COCO_train2014_000000262495.jpg,What is this baby holding ?,bottle
./train2014/COCO_train2014_000000547938.jpg,What symbol appears on the tail of the airplane ?,crown
./train2014/COCO_train2014_000000547938.jpg,Are there any buildings in the background ?,yes
./train2014/COCO_train2014_000000547938.jpg,Is this an urban area ?,no
./train2014/COCO_train2014_000000293822.jpg,What color shirt is this person wearing ?,blue
./train2014/COCO_train2014_000000293822.jpg,Is this person wearing a hat ?,yes
./train2014/COCO_train2014_000000293822.jpg,Is this in an empty pool ?,no
./train2014/COCO_train2014_000000062941.jpg,What country owns this airline ?,usa
./train2014/COCO_train2014_000000062941.jpg,Is the plane in the air ?,yes
./train2014/COCO_train2014_000000062941.jpg,Where is the plane ?,in air
./train2014/COCO_train2014_000000090051.jpg,How many cows do you see ?,at least 4
./train2014/COCO_train2014_000000090051.jpg,IS one of the cows drinking water ?,yes
./train2014/COCO_train2014_000000090051.jpg,What color are the cows ?,black and white
./train2014/COCO_train2014_000000121731.jpg,Are there trees visible ?,yes
./train2014/COCO_train2014_000000121731.jpg,Is it raining in the picture ?,no
./train2014/COCO_train2014_000000121731.jpg,What is the man herding ?,cows and sheep
./train2014/COCO_train2014_000000485247.jpg,Is it bright outside ?,yes
./train2014/COCO_train2014_000000485247.jpg,Is there a sink in this room ?,yes
./train2014/COCO_train2014_000000485247.jpg,Is this natural or artificial light ?,natural
./train2014/COCO_train2014_000000279401.jpg,Do the people look tired ?,yes
./train2014/COCO_train2014_000000279401.jpg,How many people are wearing hats ?,4
./train2014/COCO_train2014_000000279401.jpg,What are the people doing ?,skiing
./train2014/COCO_train2014_000000491888.jpg,How many jellies are there on the table ?,3
./train2014/COCO_train2014_000000491888.jpg,What beverage is in the glass ?,juice
./train2014/COCO_train2014_000000491888.jpg,What color is the tablecloth ?,white
./train2014/COCO_train2014_000000569723.jpg,Are there any stripes on the ground ?,yes
./train2014/COCO_train2014_000000569723.jpg,How many people are watching the man ?,3
./train2014/COCO_train2014_000000569723.jpg,What game is this ?,tennis
./train2014/COCO_train2014_000000533957.jpg,What food is on the plate ?,pizza
./train2014/COCO_train2014_000000533957.jpg,What does the two thumbs up the boy is signifying ?,it's good food
./train2014/COCO_train2014_000000533957.jpg,Where are the books ?,school books
./train2014/COCO_train2014_000000491400.jpg,Is this umbrella one color ?,no
./train2014/COCO_train2014_000000491400.jpg,Why does the man need the umbrella if it's not raining ?,shade
./train2014/COCO_train2014_000000491400.jpg,What is this man sitting on ?,bench
./train2014/COCO_train2014_000000443427.jpg,What color is the mans' jacket ?,blue
./train2014/COCO_train2014_000000443427.jpg,Is the man getting on the train ?,no
./train2014/COCO_train2014_000000443427.jpg,What holiday has the same theme colors as the train ?,christmas
./train2014/COCO_train2014_000000555473.jpg,Are these people walking on the water ?,no
./train2014/COCO_train2014_000000555473.jpg,What is the website being advertised ?,windfornellscom
./train2014/COCO_train2014_000000555473.jpg,Is everyone wearing life jackets ?,yes
./train2014/COCO_train2014_000000303703.jpg,Is the refrigerator open ?,no
./train2014/COCO_train2014_000000303703.jpg,What is the orange bowl carrying ?,"oranges, lemons & limes"
./train2014/COCO_train2014_000000303703.jpg,What is in the pitcher ?,flowers
./train2014/COCO_train2014_000000233647.jpg,Are they trained elephants ?,yes
./train2014/COCO_train2014_000000233647.jpg,How many elephants are in the scene ?,3
./train2014/COCO_train2014_000000233647.jpg,Are this circus elephants ?,yes
./train2014/COCO_train2014_000000163818.jpg,Are there any bananas ?,yes
./train2014/COCO_train2014_000000163818.jpg,What are the different kind of fruits there ?,unknown
./train2014/COCO_train2014_000000163818.jpg,What place is this ?,kiosk
./train2014/COCO_train2014_000000020857.jpg,What is the main color of this pic ?,yellow
./train2014/COCO_train2014_000000020857.jpg,Is there anything edible ?,yes
./train2014/COCO_train2014_000000020857.jpg,What kind of food is shown ?,"banana, mais and peach"
./train2014/COCO_train2014_000000501647.jpg,What color is the players shirt ?,blue
./train2014/COCO_train2014_000000501647.jpg,What color is the batting helmet ?,blue
./train2014/COCO_train2014_000000501647.jpg,How many shoes are visible ?,5
./train2014/COCO_train2014_000000119618.jpg,Is this an American license plate ?,no
./train2014/COCO_train2014_000000119618.jpg,Is it raining in this photo ?,yes
./train2014/COCO_train2014_000000119618.jpg,Does the umbrella make this look like a clown car ?,yes
./train2014/COCO_train2014_000000522820.jpg,Where is this plane going ?,beluga
./train2014/COCO_train2014_000000522820.jpg,What does it say on the plane ?,beluga airbus
./train2014/COCO_train2014_000000522820.jpg,Is this an American plane ?,no
./train2014/COCO_train2014_000000367259.jpg,Are the children related ?,yes
./train2014/COCO_train2014_000000367259.jpg,What color is the umbrella ?,blue
./train2014/COCO_train2014_000000367259.jpg,What color is the table ?,brown
./train2014/COCO_train2014_000000164655.jpg,How many police vehicle do you see ?,2
./train2014/COCO_train2014_000000164655.jpg,Is this the police ?,yes
./train2014/COCO_train2014_000000164655.jpg,What happened in this picture ?,unknown
./train2014/COCO_train2014_000000249727.jpg,Do the ladies have the same food to eat ?,yes
./train2014/COCO_train2014_000000249727.jpg,Is the woman on the right wearing a necklace ?,yes
./train2014/COCO_train2014_000000249727.jpg,What is on the plates ?,doughnuts
./train2014/COCO_train2014_000000535768.jpg,Is the boy asleep ?,no
./train2014/COCO_train2014_000000535768.jpg,Is the boy smiling ?,no
./train2014/COCO_train2014_000000535768.jpg,Are there toys on the bed ?,yes
./train2014/COCO_train2014_000000318845.jpg,What are the children in the back of ?,pickup truck
./train2014/COCO_train2014_000000318845.jpg,Who is driving the truck ?,driver
./train2014/COCO_train2014_000000318845.jpg,Does this truck have flat tires ?,no
./train2014/COCO_train2014_000000271586.jpg,Is this vehicle upside down ?,yes
./train2014/COCO_train2014_000000271586.jpg,Is this a fighter jet ?,yes
./train2014/COCO_train2014_000000271586.jpg,Is it white or black ?,white
./train2014/COCO_train2014_000000528992.jpg,What is on the board ?,sandwich
./train2014/COCO_train2014_000000528992.jpg,Are these bananas ?,no
./train2014/COCO_train2014_000000528992.jpg,What is under the bread ?,not sure
./train2014/COCO_train2014_000000540464.jpg,Do monkeys like these ?,yes
./train2014/COCO_train2014_000000540464.jpg,What food is shown ?,plantains
./train2014/COCO_train2014_000000540464.jpg,Are these bananas ripe ?,yes
./train2014/COCO_train2014_000000410312.jpg,How many pieces of footwear do you see in this photo ?,1
./train2014/COCO_train2014_000000410312.jpg,What is the child cutting ?,paper
./train2014/COCO_train2014_000000410312.jpg,Is the child wearing eyeglasses ?,yes
./train2014/COCO_train2014_000000267289.jpg,Has the batter already his the ball ?,no
./train2014/COCO_train2014_000000267289.jpg,What business is advertised on the billboard ?,nikon
./train2014/COCO_train2014_000000267289.jpg,What are they wearing on their feet ?,cleats
./train2014/COCO_train2014_000000181009.jpg,What type of phone is the person holding ?,cell
./train2014/COCO_train2014_000000181009.jpg,What color is the railing ?,silver
./train2014/COCO_train2014_000000181009.jpg,How many phones do they have ?,2
./train2014/COCO_train2014_000000080084.jpg,Is there a pot on the stove ?,yes
./train2014/COCO_train2014_000000080084.jpg,Do the countertops and cabinets match ?,no
./train2014/COCO_train2014_000000080084.jpg,What does the woman have on her neck ?,scarf
./train2014/COCO_train2014_000000158307.jpg,What is in the sky besides a bird ?,clouds
./train2014/COCO_train2014_000000158307.jpg,How many people are on the hill ?,8
./train2014/COCO_train2014_000000158307.jpg,Where is the bird ?,in sky
./train2014/COCO_train2014_000000360475.jpg,What is the fence made out of ?,metal
./train2014/COCO_train2014_000000360475.jpg,What is the man trying to do ?,hit ball
./train2014/COCO_train2014_000000360475.jpg,Is the man wearing sunglasses ?,yes
./train2014/COCO_train2014_000000375665.jpg,What color is the board ?,red
./train2014/COCO_train2014_000000375665.jpg,Is the water calm ?,yes
./train2014/COCO_train2014_000000375665.jpg,Is it sunny or rainy ?,sunny
./train2014/COCO_train2014_000000342259.jpg,What is the pizza on ?,plate
./train2014/COCO_train2014_000000342259.jpg,What is the person cutting ?,pizza
./train2014/COCO_train2014_000000342259.jpg,What is the stuff in the bottle for ?,tabasco sauce
./train2014/COCO_train2014_000000452819.jpg,Are the bikes safe ?,yes
./train2014/COCO_train2014_000000452819.jpg,Is this a modern picture ?,no
./train2014/COCO_train2014_000000452819.jpg,How many bikes are there ?,10
./train2014/COCO_train2014_000000444173.jpg,Who is sitting on the bench ?,no one
./train2014/COCO_train2014_000000444173.jpg,What type of filter is used in this picture ?,black and white
./train2014/COCO_train2014_000000444173.jpg,Is the picture in focus ?,no
./train2014/COCO_train2014_000000051898.jpg,Is it raining ?,no
./train2014/COCO_train2014_000000051898.jpg,Are there any people sitting on the bench ?,no
./train2014/COCO_train2014_000000051898.jpg,What time does the clock on the tower say ?,10:20
./train2014/COCO_train2014_000000300542.jpg,What is this man preparing with the ladle ?,food
./train2014/COCO_train2014_000000300542.jpg,Are there tongs in the photo ?,yes
./train2014/COCO_train2014_000000300542.jpg,What kind of food is sold at this restaurant ?,american
./train2014/COCO_train2014_000000194722.jpg,How is the weather ?,foggy
./train2014/COCO_train2014_000000194722.jpg,Why does the water have white spots ?,waves
./train2014/COCO_train2014_000000194722.jpg,Is this plane flying to low to the ground and water ?,no
./train2014/COCO_train2014_000000251454.jpg,Where are the women leaning ?,plane
./train2014/COCO_train2014_000000251454.jpg,What color are their shirts ?,green
./train2014/COCO_train2014_000000251454.jpg,Is the plane running ?,no
./train2014/COCO_train2014_000000329387.jpg,What direction is the plane pointed ?,west
./train2014/COCO_train2014_000000329387.jpg,What does the side of the plane say ?,qatar
./train2014/COCO_train2014_000000329387.jpg,How many clouds are visible in this photo ?,0
./train2014/COCO_train2014_000000318189.jpg,What make of car is this ?,ford
./train2014/COCO_train2014_000000318189.jpg,Is this a vintage car ?,yes
./train2014/COCO_train2014_000000318189.jpg,What color is the surfboard ?,white and fluorescent yellow
./train2014/COCO_train2014_000000170069.jpg,Are there mountains in the background ?,yes
./train2014/COCO_train2014_000000170069.jpg,Is there a boat in the picture ?,yes
./train2014/COCO_train2014_000000170069.jpg,Is there a buoy in the water ?,yes
./train2014/COCO_train2014_000000016412.jpg,Is the road busy ?,yes
./train2014/COCO_train2014_000000016412.jpg,Is it raining ?,yes
